,,,,,,,
,id,booking_id,rating,comment,review_date,updated_at,deleted_at
,4d4cf5f2-f36f-4d68-b140-2815b9329fca,96f626be-a3e9-4d56-ac04-a93939def948,4,"Không gian yên tĩnh, view cửa sổ siêu đẹp, ngắm hoàng hôn cực chill.",2026-05-16 2:05:28,2026-05-16 2:05:28,
,c9df0ffa-6858-49a7-b450-3ea40b5ba70c,54a1e81e-a1e5-4494-a65c-a9a33c777c0e,5,"Đường vào homestay ngõ hơi nhỏ, đi xe máy thì ổn chứ ô tô to hơi khó vào.",2026-04-26 0:58:28,2026-04-26 0:58:28,
,948cf74f-9820-43ec-ab39-416b9965a649,3e065b6e-ed13-45ed-8290-ebe5c655ef81,5,"Homestay có bếp chung đầy đủ dụng cụ, mình tự nấu ăn rất tiện lợi.",2026-04-17 11:08:28,2026-04-17 11:08:28,
,5ed04a10-dd2d-452f-a6d9-69387300a6ba,678938af-1375-414f-b579-7a65f67ebd02,5,"Thủ tục check-in, check-out nhanh chóng, linh hoạt giờ giấc.",2026-05-30 11:10:28,2026-05-30 11:10:28,
,98a7c7af-72f8-42ee-96c8-2def9ffdcde6,119d6cf2-1524-4345-92c7-579a1316c72b,4,Rất ấn tượng với thiết kế nhiều cây xanh thân thiện với môi trường của homestay.,2026-05-14 11:33:28,2026-05-14 11:33:28,
,c3d76f10-957d-4c1f-8c36-e93d6e7562bf,e048c50b-3df6-4d83-8b22-9c36392b1560,5,"Decor phòng rất có gu, chụp ảnh góc nào cũng đẹp, chăn ga êm ái.",2026-05-26 4:41:28,2026-05-26 4:41:28,
,df8f82ae-8bbb-4a12-b127-42c7adaf0c8b,00a72008-0b7f-41a2-bd4d-e4afe626dd02,5,"Sân vườn rộng, có chỗ làm BBQ buổi tối rất vui, thích hợp đi nhóm bạn.",2026-05-04 14:14:28,2026-05-04 14:14:28,
,0b6befbb-6feb-4b19-b7b4-78b5dd288cc5,3e635e1e-3634-4ffb-a850-038568ff49e3,5,"Gần chợ đêm nên tối ra ngoài dạo phố, ăn vặt rất tiện và vui.",2026-05-08 8:06:28,2026-05-08 8:06:28,
,c58e8012-2d94-4330-99f3-d4441afba9c3,0573593d-7b25-4e76-8a32-7c4169133253,4,"Bạn lễ tân cười rất tươi, cực kỳ thân thiện và chiều khách. Chắc chắn quay lại!",2026-05-08 20:24:28,2026-05-08 20:24:28,
,3bae6206-d65e-48ac-9672-973f381ddc9d,0bdd945d-1645-420b-9a69-5187baad8bc9,5,"Khăn tắm sạch sẽ, được thay mới mỗi ngày, dịch vụ dọn phòng chuyên nghiệp.",2026-05-28 18:15:28,2026-05-28 18:15:28,
,b8e1306b-0b7c-4fce-9239-73202cb08d1d,a1379803-443f-44ad-a048-bd20785ef2a1,5,"Vị trí đắc địa, ngay trung tâm, đi bộ vài bước là ra đến chỗ ăn uống ngon.",2026-05-23 17:30:28,2026-05-23 17:30:28,
,a6e543cb-bee5-412c-b938-b46db6210f28,9e682e86-bcba-4bd6-876d-01d816034a79,5,"Cảnh quan xung quanh mát mẻ, nhiều cây xanh, cảm giác rất bình yên thư giãn.",2026-05-04 12:56:28,2026-05-04 12:56:28,
,492a4036-1e3c-4b03-ac1f-72ece8ef3234,81c71c16-fb32-4378-b534-3ac05d295a1f,4,"Chỗ ở cách âm chưa thực sự xuất sắc, đêm thỉnh thoảng nghe tiếng bên ngoài xíu.",2026-04-21 6:46:28,2026-04-21 6:46:28,
,f7613d1d-fcf3-440d-b88d-a54f64296bbe,73c676cf-094d-4c3a-af34-a83c97015aa8,5,"Anh chủ nhiệt tình chỉ dẫn chỗ chơi, xe máy cho thuê giá rẻ và xe rất mới.",2026-05-17 15:16:28,2026-05-17 15:16:28,
,4c60790e-f4f3-42aa-8de7-968e35d193cb,a4bc3791-ade3-4278-9516-040b747bad66,5,"Phòng tắm rộng, nước nóng lạnh đầy đủ, vệ sinh rất kỹ lưỡng.",2026-05-27 20:20:28,2026-05-27 20:20:28,
,7ef2ecc3-084a-437f-9223-69498cd02f80,915964fb-c438-4305-a1e7-11c8b630d3a2,5,"Phòng rất sạch sẽ, thơm tho, cô chủ cực kỳ dễ thương và hỗ trợ nhiệt tình.",2026-05-27 21:06:28,2026-05-27 21:06:28,
,38309d42-7f1a-45c9-a168-5ffdbc74d210,520942c5-8b7e-4808-9341-59cdf3d2ddbc,4,"Đồ dùng cá nhân (bàn chải, xà phòng) chuẩn bị chu đáo, có cả máy sấy tóc sịn.",2026-04-29 12:39:28,2026-04-29 12:39:28,
,612b41c0-7b9f-4065-9068-61b0cb8372fd,b4503096-fb25-4f4c-9baf-1bd06c3a5f24,5,Thích nhất ban công phơi đồ và không gian ngồi nhâm nhi cafe buổi sáng ở đây.,2026-04-25 14:47:28,2026-04-25 14:47:28,
,6557aece-b285-45e1-8268-cd21cb2d75f1,6c1d8b74-1580-438e-ba4b-6df31288481d,5,"Nệm thiết kế hơi cứng kiểu khách sạn, ai quen nằm nệm lún sâu có thể chưa quen.",2026-05-24 16:02:28,2026-05-24 16:02:28,
,a90019d4-9c58-48fd-a68a-1f750aadd1b8,1826415f-ac02-47ec-8513-9c97c35bce50,5,Giá có nhỉnh hơn chút vào dịp lễ nhưng chất lượng dịch vụ hoàn toàn xứng đáng.,2026-04-30 23:49:28,2026-04-30 23:49:28,
,7b88bf08-51d2-44ef-a95c-6be397d5430c,dc83c6b2-1e22-4942-bd6c-11501141df0d,4,"Không khí trong lành, hoàn toàn thoát khỏi sự ồn ào khói bụi của thành phố.",2026-05-15 8:33:28,2026-05-15 8:33:28,
